,feature,importance,normalized_importance,cumulative_importance
225,advertiser_id_6847.0,3.3000000000000003,0.0014784946236559137,0.7580645161290309
226,browser_other,3.3000000000000003,0.0014784946236559137,0.7595430107526868
227,city_code_14540.0,3.3,0.0014784946236559135,0.7610215053763427
228,zone_id_13362317.0,3.3,0.0014784946236559135,0.7624999999999986
229,advertiser_id_451617.0,3.3,0.0014784946236559135,0.7639784946236545
230,browser_uc,3.3,0.0014784946236559135,0.7654569892473104
231,advertiser_id_313106.0,3.2,0.0014336917562724012,0.7668906810035828
232,banner_id_23775886.0,3.2,0.0014336917562724012,0.7683243727598552
233,advertiser_id_26052.0,3.2,0.0014336917562724012,0.7697580645161276
234,zone_id_12070300.0,3.2,0.0014336917562724012,0.7711917562724
235,region_code_11362.0,3.1999999999999997,0.001433691756272401,0.7726254480286724
236,banner_id_24057264.0,3.1999999999999997,0.001433691756272401,0.7740591397849448
237,city_code_7387.0,3.1000000000000005,0.001388888888888889,0.7754480286738337
238,banner_id_24126219.0,3.1,0.0013888888888888887,0.7768369175627226
239,geo_JP,3.1,0.0013888888888888887,0.7782258064516114
240,zone_id_13678025.0,3.1,0.0013888888888888887,0.7796146953405003
241,isp_96440.0,3.0999999999999996,0.0013888888888888885,0.7810035842293892
242,region_code_1320.0,3.0000000000000004,0.0013440860215053762,0.7823476702508946
243,region_code_11802.0,3.0,0.001344086021505376,0.7836917562724
244,banner_id_16715376.0,3.0,0.001344086021505376,0.7850358422939053
245,advertiser_id_603266.0,3.0,0.001344086021505376,0.7863799283154107
246,isp_9179.0,3.0,0.001344086021505376,0.7877240143369161
247,advertiser_id_340927.0,3.0,0.001344086021505376,0.7890681003584215
248,zone_id_746216.0,3.0,0.001344086021505376,0.7904121863799268
249,geo_PH,3.0,0.001344086021505376,0.7917562724014322
250,zone_id_12887455.0,3.0,0.001344086021505376,0.7931003584229376
251,region_code_12208.0,3.0,0.001344086021505376,0.794444444444443
252,isp_76247.0,3.0,0.001344086021505376,0.7957885304659483
253,geo_CA,3.0,0.001344086021505376,0.7971326164874537
254,region_code_25153.0,2.9999999999999996,0.0013440860215053758,0.7984767025089591
255,advertiser_id_449740.0,2.9000000000000004,0.0012992831541218637,0.799775985663081
256,lang_ar,2.9000000000000004,0.0012992831541218637,0.8010752688172028
257,banner_id_20305582.0,2.9,0.0012992831541218635,0.8023745519713247
258,zone_id_11141690.0,2.9,0.0012992831541218635,0.8036738351254465
259,lang_id,2.9,0.0012992831541218635,0.8049731182795684
260,zone_id_179295.0,2.9,0.0012992831541218635,0.8062724014336903
261,isp_114950.0,2.9,0.0012992831541218635,0.8075716845878121
262,os_version_mac10.10,2.9,0.0012992831541218635,0.808870967741934
263,region_code_25295.0,2.9,0.0012992831541218635,0.8101702508960559
264,city_code_29655.0,2.9,0.0012992831541218635,0.8114695340501777
